id,amount,date,category
7,38525.5,2023-03-06,food
177,27177.8,2023-05-26,travel
795,6557.95,2023-04-23,transfer
809,4762.54,2023-09-28,transfer
869,19040.9,2023-07-13,shopping
900,5876.39,2024-01-09,services
1209,19636.8,2023-06-19,transfer
1315,5318.46,2023-10-28,transfer
1388,9457.24,2023-09-30,education
1689,7524.88,2023-02-28,services
1724,71259,2023-06-28,transfer
1828,5689.32,2023-04-30,food
1994,11453.4,2023-08-19,food
2033,20782.9,2023-12-01,transfer
2465,12477.8,2023-12-15,shopping
2607,20516,2024-01-03,food
2610,8460.25,2023-08-07,shopping
3088,31950.8,2023-07-22,health
3171,4966.04,2023-01-03,transfer
3520,4683.69,2023-03-10,food
3598,19638.3,2023-10-25,transfer
3600,13340.6,2023-08-05,travel
3639,54399.8,2023-10-15,shopping
3650,69673.9,2023-03-07,health
3827,22957,2023-01-22,transfer
3968,15508.8,2023-09-27,travel
4077,5495.28,2023-10-21,food
4300,34819.2,2023-10-09,education
4417,4635.61,2023-09-13,shopping
4508,7632.32,2024-01-09,food
4543,4906.98,2023-06-23,travel
4633,18493,2023-12-15,health
4709,20164.4,2024-01-16,shopping
4805,31929.7,2023-12-26,shopping
4947,18347.3,2023-08-25,health
5117,26554.8,2023-11-02,travel
5169,20190.7,2023-08-29,transfer
5261,12309.8,2023-05-09,health
5447,23253,2023-10-22,food
5514,16589.6,2023-03-28,transfer
5705,4443.85,2023-02-08,transfer
5769,4474.08,2023-08-08,food
6415,22428.3,2023-11-17,education
6907,15452.2,2024-02-05,health
7002,17259.1,2023-02-28,services
7315,6102.85,2023-03-22,transfer
7828,3971.22,2023-12-06,health
7852,6026.18,2023-11-26,services
8052,12493,2023-07-25,education
8072,4480,2023-04-21,services
8296,11012,2023-07-25,education
8406,11329.5,2023-07-30,services
8466,14209.4,2023-12-22,travel
8468,22570.3,2023-01-21,shopping
8536,4718.4,2023-01-30,shopping
8889,4094.11,2024-02-01,services
8955,10778.2,2023-12-26,food
8994,12074,2023-03-07,transfer
9106,9077.12,2023-01-22,shopping
9370,7833.89,2023-08-29,transfer
9385,4978.81,2023-02-04,shopping
9720,19520.6,2023-05-15,transfer
9747,27527.8,2023-11-17,shopping
9821,10700.6,2023-03-10,food
10150,7053.74,2023-05-19,health
10269,5432.6,2023-04-12,services
10281,9436.9,2023-06-23,transfer
10288,14316.5,2023-09-26,services
10356,4871.16,2023-12-02,food
10461,22034.3,2023-08-17,travel
10464,10932,2023-03-30,transfer
10582,4049.05,2023-01-17,services
10731,4018.56,2023-04-14,education
10910,30963.1,2023-12-15,education
11073,6981.03,2023-04-19,health
11285,8901.83,2023-02-21,travel
11431,4582.82,2024-01-09,health
11514,6948.92,2023-08-27,services
11765,6085.1,2023-02-23,transfer
12003,5145.79,2023-04-05,services
12109,10646.1,2023-04-03,food
12304,59765.2,2023-08-23,transfer
12314,16872.7,2023-07-30,shopping
12555,13046.6,2023-05-22,transfer
12686,25597.4,2023-04-15,transfer
12704,6381.34,2023-09-13,travel
12884,14945,2023-04-12,education
13244,5448.52,2023-05-26,shopping
13305,20080.2,2023-06-08,health
13396,5716.25,2023-03-25,travel
13847,30936.1,2023-01-03,food
14002,9141.6,2023-06-01,travel
14301,46410.7,2023-06-02,shopping
14674,12209,2023-09-21,services
14749,5356.2,2023-07-02,food
14922,34937.6,2023-12-19,health
15143,12855.4,2023-01-14,transfer
16241,15070.4,2023-01-13,services
16277,5339.18,2023-06-17,transfer
16353,4972.35,2023-07-15,travel
16412,14147.1,2023-10-13,food
16613,5692.75,2023-08-07,travel
17215,8906.92,2023-09-22,education
17228,9909.34,2024-02-02,transfer
17558,12707,2023-11-29,travel
17690,9126.3,2023-08-04,travel
17888,8198.19,2023-11-24,transfer
18106,8936.64,2023-06-15,transfer
18139,26470.4,2023-04-01,shopping
18348,5131.23,2023-07-04,shopping
19046,33647.7,2023-01-03,transfer
19210,18234.5,2023-03-01,food
19469,27714,2023-07-03,education
19535,4044.13,2023-08-21,food
19570,29707.6,2023-07-14,education
19624,33039.1,2023-03-23,shopping
19666,7933.07,2023-03-10,shopping
19752,7228.44,2023-01-20,services
20014,11164.6,2023-12-09,transfer
20075,16147.4,2023-06-22,education
20306,26592.5,2023-05-03,health
20320,13581.5,2023-03-26,services
20662,8127,2023-05-26,shopping
21373,5700.6,2023-07-15,services
21576,33726.2,2023-01-24,services
22117,11894,2023-07-09,services
22168,14832.5,2023-12-29,shopping
22544,6607.92,2023-08-26,services
22575,5915.52,2023-06-19,health
22594,8586.75,2023-02-24,services
